question,startpoint,endpoint,opt1,opt2,correct_choice,question_id,prompt_id
"victoria is friends with adam. mason is friends with sage. max is friends with amber. max is friends with eve. hunter is friends with harry. sage is friends with mason. victoria is friends with sam. amber is friends with sam. crystal is friends with sage. eve is friends with sam. adam is friends with victoria. hunter is friends with eden. sage is friends with crystal. bella is friends with sage. sam is friends with victoria. eve is friends with max. eve is friends with victoria. amber is friends with max. eden is friends with hunter. eve is friends with adam. victoria is friends with eve. bella is friends with eden. harry is friends with eden. eden is friends with bella. harry is friends with hunter. sam is friends with eve. sam is friends with amber. adam is friends with eve. eden is friends with harry. mason is friends with adam. adam is friends with mason. harry is friends with crystal. sage is friends with bella. crystal is friends with harry. victoria wants to pass a message most efficiently to mason, should victoria begin by passing the message on to eve or adam?",victoria,mason,eve,adam,adam,10,0
"victoria is friends with adam. mason is friends with sage. max is friends with amber. max is friends with eve. hunter is friends with harry. sage is friends with mason. victoria is friends with sam. amber is friends with sam. crystal is friends with sage. eve is friends with sam. adam is friends with victoria. hunter is friends with eden. sage is friends with crystal. bella is friends with sage. sam is friends with victoria. eve is friends with max. eve is friends with victoria. amber is friends with max. eden is friends with hunter. eve is friends with adam. victoria is friends with eve. bella is friends with eden. harry is friends with eden. eden is friends with bella. harry is friends with hunter. sam is friends with eve. sam is friends with amber. adam is friends with eve. eden is friends with harry. mason is friends with adam. adam is friends with mason. harry is friends with crystal. sage is friends with bella. crystal is friends with harry. victoria wants to pass a message most efficiently to mason, should victoria begin by passing the message on to sam or adam?",victoria,mason,sam,adam,adam,11,0
"victoria is friends with adam. mason is friends with sage. max is friends with amber. max is friends with eve. hunter is friends with harry. sage is friends with mason. victoria is friends with sam. amber is friends with sam. crystal is friends with sage. eve is friends with sam. adam is friends with victoria. hunter is friends with eden. sage is friends with crystal. bella is friends with sage. sam is friends with victoria. eve is friends with max. eve is friends with victoria. amber is friends with max. eden is friends with hunter. eve is friends with adam. victoria is friends with eve. bella is friends with eden. harry is friends with eden. eden is friends with bella. harry is friends with hunter. sam is friends with eve. sam is friends with amber. adam is friends with eve. eden is friends with harry. mason is friends with adam. adam is friends with mason. harry is friends with crystal. sage is friends with bella. crystal is friends with harry. victoria wants to pass a message most efficiently to max, should victoria begin by passing the message on to adam or eve?",victoria,max,adam,eve,eve,12,0
"victoria is friends with adam. mason is friends with sage. max is friends with amber. max is friends with eve. hunter is friends with harry. sage is friends with mason. victoria is friends with sam. amber is friends with sam. crystal is friends with sage. eve is friends with sam. adam is friends with victoria. hunter is friends with eden. sage is friends with crystal. bella is friends with sage. sam is friends with victoria. eve is friends with max. eve is friends with victoria. amber is friends with max. eden is friends with hunter. eve is friends with adam. victoria is friends with eve. bella is friends with eden. harry is friends with eden. eden is friends with bella. harry is friends with hunter. sam is friends with eve. sam is friends with amber. adam is friends with eve. eden is friends with harry. mason is friends with adam. adam is friends with mason. harry is friends with crystal. sage is friends with bella. crystal is friends with harry. victoria wants to pass a message most efficiently to max, should victoria begin by passing the message on to sam or eve?",victoria,max,sam,eve,eve,13,0
"victoria is friends with adam. mason is friends with sage. max is friends with amber. max is friends with eve. hunter is friends with harry. sage is friends with mason. victoria is friends with sam. amber is friends with sam. crystal is friends with sage. eve is friends with sam. adam is friends with victoria. hunter is friends with eden. sage is friends with crystal. bella is friends with sage. sam is friends with victoria. eve is friends with max. eve is friends with victoria. amber is friends with max. eden is friends with hunter. eve is friends with adam. victoria is friends with eve. bella is friends with eden. harry is friends with eden. eden is friends with bella. harry is friends with hunter. sam is friends with eve. sam is friends with amber. adam is friends with eve. eden is friends with harry. mason is friends with adam. adam is friends with mason. harry is friends with crystal. sage is friends with bella. crystal is friends with harry. victoria wants to pass a message most efficiently to amber, should victoria begin by passing the message on to sam or adam?",victoria,amber,sam,adam,sam,14,0
"victoria is friends with adam. mason is friends with sage. max is friends with amber. max is friends with eve. hunter is friends with harry. sage is friends with mason. victoria is friends with sam. amber is friends with sam. crystal is friends with sage. eve is friends with sam. adam is friends with victoria. hunter is friends with eden. sage is friends with crystal. bella is friends with sage. sam is friends with victoria. eve is friends with max. eve is friends with victoria. amber is friends with max. eden is friends with hunter. eve is friends with adam. victoria is friends with eve. bella is friends with eden. harry is friends with eden. eden is friends with bella. harry is friends with hunter. sam is friends with eve. sam is friends with amber. adam is friends with eve. eden is friends with harry. mason is friends with adam. adam is friends with mason. harry is friends with crystal. sage is friends with bella. crystal is friends with harry. victoria wants to pass a message most efficiently to amber, should victoria begin by passing the message on to eve or sam?",victoria,amber,eve,sam,sam,15,0
"victoria is friends with adam. mason is friends with sage. max is friends with amber. max is friends with eve. hunter is friends with harry. sage is friends with mason. victoria is friends with sam. amber is friends with sam. crystal is friends with sage. eve is friends with sam. adam is friends with victoria. hunter is friends with eden. sage is friends with crystal. bella is friends with sage. sam is friends with victoria. eve is friends with max. eve is friends with victoria. amber is friends with max. eden is friends with hunter. eve is friends with adam. victoria is friends with eve. bella is friends with eden. harry is friends with eden. eden is friends with bella. harry is friends with hunter. sam is friends with eve. sam is friends with amber. adam is friends with eve. eden is friends with harry. mason is friends with adam. adam is friends with mason. harry is friends with crystal. sage is friends with bella. crystal is friends with harry. eve wants to pass a message most efficiently to mason, should eve begin by passing the message on to adam or victoria?",eve,mason,adam,victoria,adam,16,0
"victoria is friends with adam. mason is friends with sage. max is friends with amber. max is friends with eve. hunter is friends with harry. sage is friends with mason. victoria is friends with sam. amber is friends with sam. crystal is friends with sage. eve is friends with sam. adam is friends with victoria. hunter is friends with eden. sage is friends with crystal. bella is friends with sage. sam is friends with victoria. eve is friends with max. eve is friends with victoria. amber is friends with max. eden is friends with hunter. eve is friends with adam. victoria is friends with eve. bella is friends with eden. harry is friends with eden. eden is friends with bella. harry is friends with hunter. sam is friends with eve. sam is friends with amber. adam is friends with eve. eden is friends with harry. mason is friends with adam. adam is friends with mason. harry is friends with crystal. sage is friends with bella. crystal is friends with harry. eve wants to pass a message most efficiently to mason, should eve begin by passing the message on to adam or sam?",eve,mason,adam,sam,adam,17,0
"victoria is friends with adam. mason is friends with sage. max is friends with amber. max is friends with eve. hunter is friends with harry. sage is friends with mason. victoria is friends with sam. amber is friends with sam. crystal is friends with sage. eve is friends with sam. adam is friends with victoria. hunter is friends with eden. sage is friends with crystal. bella is friends with sage. sam is friends with victoria. eve is friends with max. eve is friends with victoria. amber is friends with max. eden is friends with hunter. eve is friends with adam. victoria is friends with eve. bella is friends with eden. harry is friends with eden. eden is friends with bella. harry is friends with hunter. sam is friends with eve. sam is friends with amber. adam is friends with eve. eden is friends with harry. mason is friends with adam. adam is friends with mason. harry is friends with crystal. sage is friends with bella. crystal is friends with harry. eve wants to pass a message most efficiently to mason, should eve begin by passing the message on to adam or max?",eve,mason,adam,max,adam,18,0
"victoria is friends with adam. mason is friends with sage. max is friends with amber. max is friends with eve. hunter is friends with harry. sage is friends with mason. victoria is friends with sam. amber is friends with sam. crystal is friends with sage. eve is friends with sam. adam is friends with victoria. hunter is friends with eden. sage is friends with crystal. bella is friends with sage. sam is friends with victoria. eve is friends with max. eve is friends with victoria. amber is friends with max. eden is friends with hunter. eve is friends with adam. victoria is friends with eve. bella is friends with eden. harry is friends with eden. eden is friends with bella. harry is friends with hunter. sam is friends with eve. sam is friends with amber. adam is friends with eve. eden is friends with harry. mason is friends with adam. adam is friends with mason. harry is friends with crystal. sage is friends with bella. crystal is friends with harry. eve wants to pass a message most efficiently to amber, should eve begin by passing the message on to adam or sam?",eve,amber,adam,sam,sam,19,0
"victoria is friends with adam. mason is friends with sage. max is friends with amber. max is friends with eve. hunter is friends with harry. sage is friends with mason. victoria is friends with sam. amber is friends with sam. crystal is friends with sage. eve is friends with sam. adam is friends with victoria. hunter is friends with eden. sage is friends with crystal. bella is friends with sage. sam is friends with victoria. eve is friends with max. eve is friends with victoria. amber is friends with max. eden is friends with hunter. eve is friends with adam. victoria is friends with eve. bella is friends with eden. harry is friends with eden. eden is friends with bella. harry is friends with hunter. sam is friends with eve. sam is friends with amber. adam is friends with eve. eden is friends with harry. mason is friends with adam. adam is friends with mason. harry is friends with crystal. sage is friends with bella. crystal is friends with harry. eve wants to pass a message most efficiently to amber, should eve begin by passing the message on to sam or victoria?",eve,amber,sam,victoria,sam,20,0
"victoria is friends with adam. mason is friends with sage. max is friends with amber. max is friends with eve. hunter is friends with harry. sage is friends with mason. victoria is friends with sam. amber is friends with sam. crystal is friends with sage. eve is friends with sam. adam is friends with victoria. hunter is friends with eden. sage is friends with crystal. bella is friends with sage. sam is friends with victoria. eve is friends with max. eve is friends with victoria. amber is friends with max. eden is friends with hunter. eve is friends with adam. victoria is friends with eve. bella is friends with eden. harry is friends with eden. eden is friends with bella. harry is friends with hunter. sam is friends with eve. sam is friends with amber. adam is friends with eve. eden is friends with harry. mason is friends with adam. adam is friends with mason. harry is friends with crystal. sage is friends with bella. crystal is friends with harry. eve wants to pass a message most efficiently to amber, should eve begin by passing the message on to adam or max?",eve,amber,adam,max,max,21,0
"victoria is friends with adam. mason is friends with sage. max is friends with amber. max is friends with eve. hunter is friends with harry. sage is friends with mason. victoria is friends with sam. amber is friends with sam. crystal is friends with sage. eve is friends with sam. adam is friends with victoria. hunter is friends with eden. sage is friends with crystal. bella is friends with sage. sam is friends with victoria. eve is friends with max. eve is friends with victoria. amber is friends with max. eden is friends with hunter. eve is friends with adam. victoria is friends with eve. bella is friends with eden. harry is friends with eden. eden is friends with bella. harry is friends with hunter. sam is friends with eve. sam is friends with amber. adam is friends with eve. eden is friends with harry. mason is friends with adam. adam is friends with mason. harry is friends with crystal. sage is friends with bella. crystal is friends with harry. eve wants to pass a message most efficiently to amber, should eve begin by passing the message on to max or victoria?",eve,amber,max,victoria,max,22,0
"victoria is friends with adam. mason is friends with sage. max is friends with amber. max is friends with eve. hunter is friends with harry. sage is friends with mason. victoria is friends with sam. amber is friends with sam. crystal is friends with sage. eve is friends with sam. adam is friends with victoria. hunter is friends with eden. sage is friends with crystal. bella is friends with sage. sam is friends with victoria. eve is friends with max. eve is friends with victoria. amber is friends with max. eden is friends with hunter. eve is friends with adam. victoria is friends with eve. bella is friends with eden. harry is friends with eden. eden is friends with bella. harry is friends with hunter. sam is friends with eve. sam is friends with amber. adam is friends with eve. eden is friends with harry. mason is friends with adam. adam is friends with mason. harry is friends with crystal. sage is friends with bella. crystal is friends with harry. sam wants to pass a message most efficiently to adam, should sam begin by passing the message on to victoria or amber?",sam,adam,victoria,amber,victoria,23,0
"victoria is friends with adam. mason is friends with sage. max is friends with amber. max is friends with eve. hunter is friends with harry. sage is friends with mason. victoria is friends with sam. amber is friends with sam. crystal is friends with sage. eve is friends with sam. adam is friends with victoria. hunter is friends with eden. sage is friends with crystal. bella is friends with sage. sam is friends with victoria. eve is friends with max. eve is friends with victoria. amber is friends with max. eden is friends with hunter. eve is friends with adam. victoria is friends with eve. bella is friends with eden. harry is friends with eden. eden is friends with bella. harry is friends with hunter. sam is friends with eve. sam is friends with amber. adam is friends with eve. eden is friends with harry. mason is friends with adam. adam is friends with mason. harry is friends with crystal. sage is friends with bella. crystal is friends with harry. sam wants to pass a message most efficiently to adam, should sam begin by passing the message on to eve or amber?",sam,adam,eve,amber,eve,24,0
"victoria is friends with adam. mason is friends with sage. max is friends with amber. max is friends with eve. hunter is friends with harry. sage is friends with mason. victoria is friends with sam. amber is friends with sam. crystal is friends with sage. eve is friends with sam. adam is friends with victoria. hunter is friends with eden. sage is friends with crystal. bella is friends with sage. sam is friends with victoria. eve is friends with max. eve is friends with victoria. amber is friends with max. eden is friends with hunter. eve is friends with adam. victoria is friends with eve. bella is friends with eden. harry is friends with eden. eden is friends with bella. harry is friends with hunter. sam is friends with eve. sam is friends with amber. adam is friends with eve. eden is friends with harry. mason is friends with adam. adam is friends with mason. harry is friends with crystal. sage is friends with bella. crystal is friends with harry. sam wants to pass a message most efficiently to max, should sam begin by passing the message on to eve or victoria?",sam,max,eve,victoria,eve,25,0
"victoria is friends with adam. mason is friends with sage. max is friends with amber. max is friends with eve. hunter is friends with harry. sage is friends with mason. victoria is friends with sam. amber is friends with sam. crystal is friends with sage. eve is friends with sam. adam is friends with victoria. hunter is friends with eden. sage is friends with crystal. bella is friends with sage. sam is friends with victoria. eve is friends with max. eve is friends with victoria. amber is friends with max. eden is friends with hunter. eve is friends with adam. victoria is friends with eve. bella is friends with eden. harry is friends with eden. eden is friends with bella. harry is friends with hunter. sam is friends with eve. sam is friends with amber. adam is friends with eve. eden is friends with harry. mason is friends with adam. adam is friends with mason. harry is friends with crystal. sage is friends with bella. crystal is friends with harry. sam wants to pass a message most efficiently to max, should sam begin by passing the message on to amber or victoria?",sam,max,amber,victoria,amber,26,0
"victoria is friends with adam. mason is friends with sage. max is friends with amber. max is friends with eve. hunter is friends with harry. sage is friends with mason. victoria is friends with sam. amber is friends with sam. crystal is friends with sage. eve is friends with sam. adam is friends with victoria. hunter is friends with eden. sage is friends with crystal. bella is friends with sage. sam is friends with victoria. eve is friends with max. eve is friends with victoria. amber is friends with max. eden is friends with hunter. eve is friends with adam. victoria is friends with eve. bella is friends with eden. harry is friends with eden. eden is friends with bella. harry is friends with hunter. sam is friends with eve. sam is friends with amber. adam is friends with eve. eden is friends with harry. mason is friends with adam. adam is friends with mason. harry is friends with crystal. sage is friends with bella. crystal is friends with harry. max wants to pass a message most efficiently to adam, should max begin by passing the message on to eve or amber?",max,adam,eve,amber,eve,27,0
"victoria is friends with adam. mason is friends with sage. max is friends with amber. max is friends with eve. hunter is friends with harry. sage is friends with mason. victoria is friends with sam. amber is friends with sam. crystal is friends with sage. eve is friends with sam. adam is friends with victoria. hunter is friends with eden. sage is friends with crystal. bella is friends with sage. sam is friends with victoria. eve is friends with max. eve is friends with victoria. amber is friends with max. eden is friends with hunter. eve is friends with adam. victoria is friends with eve. bella is friends with eden. harry is friends with eden. eden is friends with bella. harry is friends with hunter. sam is friends with eve. sam is friends with amber. adam is friends with eve. eden is friends with harry. mason is friends with adam. adam is friends with mason. harry is friends with crystal. sage is friends with bella. crystal is friends with harry. max wants to pass a message most efficiently to victoria, should max begin by passing the message on to eve or amber?",max,victoria,eve,amber,eve,28,0
"victoria is friends with adam. mason is friends with sage. max is friends with amber. max is friends with eve. hunter is friends with harry. sage is friends with mason. victoria is friends with sam. amber is friends with sam. crystal is friends with sage. eve is friends with sam. adam is friends with victoria. hunter is friends with eden. sage is friends with crystal. bella is friends with sage. sam is friends with victoria. eve is friends with max. eve is friends with victoria. amber is friends with max. eden is friends with hunter. eve is friends with adam. victoria is friends with eve. bella is friends with eden. harry is friends with eden. eden is friends with bella. harry is friends with hunter. sam is friends with eve. sam is friends with amber. adam is friends with eve. eden is friends with harry. mason is friends with adam. adam is friends with mason. harry is friends with crystal. sage is friends with bella. crystal is friends with harry. amber wants to pass a message most efficiently to victoria, should amber begin by passing the message on to sam or max?",amber,victoria,sam,max,sam,29,0
"victoria is friends with adam. mason is friends with sage. max is friends with amber. max is friends with eve. hunter is friends with harry. sage is friends with mason. victoria is friends with sam. amber is friends with sam. crystal is friends with sage. eve is friends with sam. adam is friends with victoria. hunter is friends with eden. sage is friends with crystal. bella is friends with sage. sam is friends with victoria. eve is friends with max. eve is friends with victoria. amber is friends with max. eden is friends with hunter. eve is friends with adam. victoria is friends with eve. bella is friends with eden. harry is friends with eden. eden is friends with bella. harry is friends with hunter. sam is friends with eve. sam is friends with amber. adam is friends with eve. eden is friends with harry. mason is friends with adam. adam is friends with mason. harry is friends with crystal. sage is friends with bella. crystal is friends with harry. sage wants to pass a message most efficiently to adam, should sage begin by passing the message on to crystal or mason?",sage,adam,crystal,mason,mason,30,0
"victoria is friends with adam. mason is friends with sage. max is friends with amber. max is friends with eve. hunter is friends with harry. sage is friends with mason. victoria is friends with sam. amber is friends with sam. crystal is friends with sage. eve is friends with sam. adam is friends with victoria. hunter is friends with eden. sage is friends with crystal. bella is friends with sage. sam is friends with victoria. eve is friends with max. eve is friends with victoria. amber is friends with max. eden is friends with hunter. eve is friends with adam. victoria is friends with eve. bella is friends with eden. harry is friends with eden. eden is friends with bella. harry is friends with hunter. sam is friends with eve. sam is friends with amber. adam is friends with eve. eden is friends with harry. mason is friends with adam. adam is friends with mason. harry is friends with crystal. sage is friends with bella. crystal is friends with harry. sage wants to pass a message most efficiently to adam, should sage begin by passing the message on to bella or mason?",sage,adam,bella,mason,mason,31,0
"victoria is friends with adam. mason is friends with sage. max is friends with amber. max is friends with eve. hunter is friends with harry. sage is friends with mason. victoria is friends with sam. amber is friends with sam. crystal is friends with sage. eve is friends with sam. adam is friends with victoria. hunter is friends with eden. sage is friends with crystal. bella is friends with sage. sam is friends with victoria. eve is friends with max. eve is friends with victoria. amber is friends with max. eden is friends with hunter. eve is friends with adam. victoria is friends with eve. bella is friends with eden. harry is friends with eden. eden is friends with bella. harry is friends with hunter. sam is friends with eve. sam is friends with amber. adam is friends with eve. eden is friends with harry. mason is friends with adam. adam is friends with mason. harry is friends with crystal. sage is friends with bella. crystal is friends with harry. sage wants to pass a message most efficiently to harry, should sage begin by passing the message on to crystal or mason?",sage,harry,crystal,mason,crystal,32,0
"victoria is friends with adam. mason is friends with sage. max is friends with amber. max is friends with eve. hunter is friends with harry. sage is friends with mason. victoria is friends with sam. amber is friends with sam. crystal is friends with sage. eve is friends with sam. adam is friends with victoria. hunter is friends with eden. sage is friends with crystal. bella is friends with sage. sam is friends with victoria. eve is friends with max. eve is friends with victoria. amber is friends with max. eden is friends with hunter. eve is friends with adam. victoria is friends with eve. bella is friends with eden. harry is friends with eden. eden is friends with bella. harry is friends with hunter. sam is friends with eve. sam is friends with amber. adam is friends with eve. eden is friends with harry. mason is friends with adam. adam is friends with mason. harry is friends with crystal. sage is friends with bella. crystal is friends with harry. sage wants to pass a message most efficiently to harry, should sage begin by passing the message on to crystal or bella?",sage,harry,crystal,bella,crystal,33,0
"victoria is friends with adam. mason is friends with sage. max is friends with amber. max is friends with eve. hunter is friends with harry. sage is friends with mason. victoria is friends with sam. amber is friends with sam. crystal is friends with sage. eve is friends with sam. adam is friends with victoria. hunter is friends with eden. sage is friends with crystal. bella is friends with sage. sam is friends with victoria. eve is friends with max. eve is friends with victoria. amber is friends with max. eden is friends with hunter. eve is friends with adam. victoria is friends with eve. bella is friends with eden. harry is friends with eden. eden is friends with bella. harry is friends with hunter. sam is friends with eve. sam is friends with amber. adam is friends with eve. eden is friends with harry. mason is friends with adam. adam is friends with mason. harry is friends with crystal. sage is friends with bella. crystal is friends with harry. sage wants to pass a message most efficiently to eden, should sage begin by passing the message on to bella or mason?",sage,eden,bella,mason,bella,34,0
"victoria is friends with adam. mason is friends with sage. max is friends with amber. max is friends with eve. hunter is friends with harry. sage is friends with mason. victoria is friends with sam. amber is friends with sam. crystal is friends with sage. eve is friends with sam. adam is friends with victoria. hunter is friends with eden. sage is friends with crystal. bella is friends with sage. sam is friends with victoria. eve is friends with max. eve is friends with victoria. amber is friends with max. eden is friends with hunter. eve is friends with adam. victoria is friends with eve. bella is friends with eden. harry is friends with eden. eden is friends with bella. harry is friends with hunter. sam is friends with eve. sam is friends with amber. adam is friends with eve. eden is friends with harry. mason is friends with adam. adam is friends with mason. harry is friends with crystal. sage is friends with bella. crystal is friends with harry. sage wants to pass a message most efficiently to eden, should sage begin by passing the message on to crystal or bella?",sage,eden,crystal,bella,bella,35,0
"victoria is friends with adam. mason is friends with sage. max is friends with amber. max is friends with eve. hunter is friends with harry. sage is friends with mason. victoria is friends with sam. amber is friends with sam. crystal is friends with sage. eve is friends with sam. adam is friends with victoria. hunter is friends with eden. sage is friends with crystal. bella is friends with sage. sam is friends with victoria. eve is friends with max. eve is friends with victoria. amber is friends with max. eden is friends with hunter. eve is friends with adam. victoria is friends with eve. bella is friends with eden. harry is friends with eden. eden is friends with bella. harry is friends with hunter. sam is friends with eve. sam is friends with amber. adam is friends with eve. eden is friends with harry. mason is friends with adam. adam is friends with mason. harry is friends with crystal. sage is friends with bella. crystal is friends with harry. crystal wants to pass a message most efficiently to mason, should crystal begin by passing the message on to sage or harry?",crystal,mason,sage,harry,sage,36,0
